Codes,Description
Z13.42,  Encounter for screening for global developmental delays (milestones)
Z13.49,  Encounter for screening for other developmental delays
Z13.5,   Encounter for screening for eye and ear disorders
Z13.6,   Encounter for screening for cardiovascular disorders
Z13.71,  Encounter for nonprocreative screening for genetic disease carrier status
Z13.79,  Encounter for other screening for genetic and chromosomal anomalies
Z13.810, Encounter for screening for upper gastrointestinal disorder
Z13.811, Encounter for screening for lower gastrointestinal disorder
Z13.818, Encounter for screening for other digestive system disorders
Z13.820, Encounter for screening for osteoporosis
Z13.828, Encounter for screening for other musculoskeletal disorder
Z13.83,  Encounter for screening for respiratory disorder NEC
Z13.84,  Encounter for screening for dental disorders
Z13.850, Encounter for screening for traumatic brain injury
Z13.858, Encounter for screening for other nervous system disorders
Z13.88,  Encounter for screening for disorder due to exposure to contaminants
Z13.89,  Encounter for screening for other disorder
Z13.9,"   Encounter for screening, unspecified"
Z14.01,  Asymptomatic hemophilia A carrier
Z14.02,  Symptomatic hemophilia A carrier
Z14.1,   Cystic fibrosis carrier
Z14.8,   Genetic carrier of other disease
Z15.01,  Genetic susceptibility to malignant neoplasm of breast
Z15.02,  Genetic susceptibility to malignant neoplasm of ovary
Z15.03,  Genetic susceptibility to malignant neoplasm of prostate
Z15.04,  Genetic susceptibility to malignant neoplasm of endometrium
Z15.09,  Genetic susceptibility to other malignant neoplasm
Z15.1,   Genetic susceptibility to epilepsy and neurodevelopmental disorders
Z15.2,   Genetic susceptibility to obesity
Z15.81,  Genetic susceptibility to multiple endocrine neoplasia [MEN]
Z15.89,  Genetic susceptibility to other disease
Z16.10,  Resistance to unspecified beta lactam antibiotics
Z16.11,  Resistance to penicillins
Z16.12,  Extended spectrum beta lactamase (ESBL) resistance
Z16.13,  Resistance to carbapenem
Z16.19,  Resistance to other specified beta lactam antibiotics
Z16.20,  Resistance to unspecified antibiotic
Z16.21,  Resistance to vancomycin
Z16.22,  Resistance to vancomycin related antibiotics
Z16.23,  Resistance to quinolones and fluoroquinolones
Z16.24,  Resistance to multiple antibiotics
Z16.29,  Resistance to other single specified antibiotic
Z16.30,  Resistance to unspecified antimicrobial drugs
Z16.31,  Resistance to antiparasitic drug(s)
Z16.32,  Resistance to antifungal drug(s)
Z16.33,  Resistance to antiviral drug(s)
Z16.341, Resistance to single antimycobacterial drug
Z16.342, Resistance to multiple antimycobacterial drugs
Z16.35,  Resistance to multiple antimicrobial drugs
Z16.39,  Resistance to other specified antimicrobial drug
Z17.0,   Estrogen receptor positive status [ER+]
Z17.1,   Estrogen receptor negative status [ER-]
Z17.21,  Progesterone receptor positive status
Z17.22,  Progesterone receptor negative status
Z17.31,  Human epidermal growth factor receptor 2 positive status
Z17.32,  Human epidermal growth factor receptor 2 negative status
Z17.410, Hormone receptor positive with human epidermal growth factor receptor 2 positive status
Z17.411, Hormone receptor positive with human epidermal growth factor receptor 2 negative status
Z17.420, Hormone receptor negative with human epidermal growth factor receptor 2 positive status
Z17.421, Hormone receptor negative with human epidermal growth factor receptor 2 negative status
Z18.01,  Retained depleted uranium fragments
Z18.09,  Other retained radioactive fragments
Z18.10,"  Retained metal fragments, unspecified"
Z18.11,  Retained magnetic metal fragments
Z18.12,  Retained nonmagnetic metal fragments
Z18.2,   Retained plastic fragments
Z18.31,  Retained animal quills or spines
Z18.32,  Retained tooth
Z18.33,  Retained wood fragments
Z18.39,  Other retained organic fragments
Z18.81,  Retained glass fragments
Z18.83,  Retained stone or crystalline fragments
Z18.89,  Other specified retained foreign body fragments
Z18.9,"   Retained foreign body fragments, unspecified material"
Z19.1,   Hormone sensitive malignancy status
Z19.2,   Hormone resistant malignancy status
Z20.01,  Contact with and (suspected) exposure to intestinal infectious diseases due to Escherichia coli (E. coli)
Z20.09,  Contact with and (suspected) exposure to other intestinal infectious diseases
Z20.1,   Contact with and (suspected) exposure to tuberculosis
Z20.2,   Contact with and (suspected) exposure to infections with a predominantly sexual mode of transmission
Z20.3,   Contact with and (suspected) exposure to rabies
Z20.4,   Contact with and (suspected) exposure to rubella
Z20.5,   Contact with and (suspected) exposure to viral hepatitis
Z20.6,   Contact with and (suspected) exposure to human immunodeficiency virus [HIV]
Z20.7,"   Contact with and (suspected) exposure to pediculosis, acariasis and other infestations"
Z20.810, Contact with and (suspected) exposure to anthrax
Z20.811, Contact with and (suspected) exposure to meningococcus
Z20.818, Contact with and (suspected) exposure to other bacterial communicable diseases
Z20.820, Contact with and (suspected) exposure to varicella
Z20.821, Contact with and (suspected) exposure to Zika virus
Z20.822, Contact with and (suspected) exposure to COVID-19
Z20.828, Contact with and (suspected) exposure to other viral communicable diseases
Z20.89,  Contact with and (suspected) exposure to other communicable diseases
Z20.9,   Contact with and (suspected) exposure to unspecified communicable disease
Z21.,    Asymptomatic human immunodeficiency virus [HIV] infection status
Z22.0,   Carrier of typhoid
Z22.1,   Carrier of other intestinal infectious diseases
Z22.2,   Carrier of diphtheria
Z22.31,  Carrier of bacterial disease due to meningococci
Z22.321, Carrier or suspected carrier of Methicillin susceptible Staphylococcus aureus
Z22.322, Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus
Z22.330, Carrier of Group B streptococcus
Z22.338, Carrier of other streptococcus
Z22.340, Carrier of carbapenem-resistant Acinetobacter baumannii
Z22.341, Carrier of carbapenem-sensitive Acinetobacter baumannii
Z22.349," Carrier of Acinetobacter baumannii, unspecified"
Z22.350, Carrier of carbapenem-resistant Enterobacterales
Z22.358, Carrier of other Enterobacterales
Z22.359," Carrier of Enterobacterales, unspecified"
Z22.39,  Carrier of other specified bacterial diseases
Z22.4,   Carrier of infections with a predominantly sexual mode of transmission
Z22.6,   Carrier of human T-lymphotropic virus type-1 [HTLV-1] infection
Z22.7,   Latent tuberculosis
Z22.8,   Carrier of other infectious diseases
Z22.9,"   Carrier of infectious disease, unspecified"
Z23.,    Encounter for immunization
Z28.01,  Immunization not carried out because of acute illness of patient
